Question,P-Value,Discrimination,Difficulty,Quality,Correct,Total
q1,0.467,0.261,Medium,Fair,14,30
q2,0.533,-0.176,Medium,Poor,16,30
q3,0.6,-0.112,Medium,Poor,18,30
q4,0.433,-0.093,Medium,Poor,13,30
q5,0.467,-0.129,Medium,Poor,14,30
q6,0.5,0.011,Medium,Poor,15,30
q7,0.433,-0.004,Medium,Poor,13,30
q8,0.433,0.255,Medium,Fair,13,30
q9,0.5,0.034,Medium,Poor,15,30
q10,0.7,-0.3,Medium,Poor,21,30
q11,0.467,-0.276,Medium,Poor,14,30
q12,0.4,-0.054,Medium,Poor,12,30
q13,0.467,0.118,Medium,Poor,14,30
q14,0.533,0.067,Medium,Poor,16,30
q15,0.6,0.069,Medium,Poor,18,30
q16,0.467,-0.107,Medium,Poor,14,30
q17,0.433,0.088,Medium,Poor,13,30
q18,0.467,-0.296,Medium,Poor,14,30
q19,0.5,0.173,Medium,Poor,15,30
q20,0.533,0.021,Medium,Poor,16,30
q21,0.5,-0.077,Medium,Poor,15,30
q22,0.433,0.111,Medium,Poor,13,30
q23,0.567,-0.08,Medium,Poor,17,30
q24,0.3,-0.136,Medium,Poor,9,30
q25,0.6,0.069,Medium,Poor,18,30
q26,0.567,0.371,Medium,Good,17,30
q27,0.367,0.252,Medium,Fair,11,30
q28,0.467,-0.107,Medium,Poor,14,30
q29,0.333,-0.016,Medium,Poor,10,30
q30,0.5,0.011,Medium,Poor,15,30
q31,0.6,-0.112,Medium,Poor,18,30
q32,0.567,-0.101,Medium,Poor,17,30
q33,0.533,-0.001,Medium,Poor,16,30
q34,0.467,-0.193,Medium,Poor,14,30
q35,0.433,-0.304,Medium,Poor,13,30
q36,0.433,-0.263,Medium,Poor,13,30
q37,0.5,-0.033,Medium,Poor,15,30
q38,0.567,0.102,Medium,Poor,17,30
q39,0.533,0.208,Medium,Fair,16,30
q40,0.5,-0.055,Medium,Poor,15,30
q41,0.467,-0.193,Medium,Poor,14,30
q42,0.433,0.159,Medium,Poor,13,30
q43,0.6,-0.068,Medium,Poor,18,30
q44,0.6,0.046,Medium,Poor,18,30
q45,0.4,-0.271,Medium,Poor,12,30
q46,0.533,-0.133,Medium,Poor,16,30
q47,0.433,0.019,Medium,Poor,13,30
q48,0.5,-0.308,Medium,Poor,15,30
q49,0.5,-0.247,Medium,Poor,15,30
q50,0.433,-0.093,Medium,Poor,13,30
